freq_items,frequency
268  545  606  841,117
351  545  606,117
351  545  606  841,116
268  351  545  606,117
268  351  545  606  841,116
268  545  606,118
545  606  72,117
268  545  606  72,117
545  72  841,117
545  606  72  841,116
268  545  72  841,117
268  545  606  72  841,116
351  545  72  841,116
268  351  545  72  841,116
351  545  606  72,116
351  545  606  72  841,115
268  351  545  606  72,116
268  351  545  606  72  841,115
268  351  545  72,117
268  545  72,118
268  545,119
19  810,112
19  885,112
19  810  885,106
872 ,122
222  827,101
222  403,102
222  684,103
222  686,104
222  275,104
23  395,119
23  280  395,114
23  280,121
686  827,106
403  684  827,100
275  403  827,101
684  827,107
275  684  827,101
275  827,108
979 ,132
257 ,132
985 ,132
476  536  914,100
319  476  536,100
476  914,105
319  476  914,104
145  476  914,103
145  319  476,103
145  319  476  914,102
319  476,106
115  517  635  744,104
115  635  744  844,106
115  635  744  845,105
517  635  744  845,105
635  744  844  845,105
115  635  744  844  845,100
517  635  744,112
517  635  744  844,106
635  744  844,113
115  517  635,116
115  517  635  844,111
115  517  635  845,110
517  635  844  845,110
115  517  635  844  845,105
517  635  844,118
115  635  845,119
115  635  844  845,113
115  635  844,120
635  845,127
635  844  845,119
635  844,128
571  702  88,126
571  702  88  956,124
255  571  702  88,124
255  702  88  956,124
255  571  702  88  956,122
702  88  956,127
571  702  859  88,118
571  702  859  88  956,116
255  571  702  859  88,116
255  702  859  88  956,116
255  571  702  859  88  956,114
702  859  88  956,119
255  571  702  859,123
571  702  859  956,123
255  571  702  859  956,121
255  702  859,126
255  702  859  956,124
702  859  956,127
255  702  859  88  890,112
702  859  88  890  956,112
255  702  859  88  890  956,110
571  702  859  88  890  956,110
255  571  702  859  88  890  956,109
255  571  702  859  88  890,111
571  702  88  890,119
702  88  890  956,119
571  702  88  890  956,117
255  702  88  890  956,117
255  571  702  88  890  956,116
255  571  702  88  890,118
571  702  859  890  956,117
255  571  702  859  890  956,116
255  571  702  859  890,118
702  859  890  956,120
255  702  859  890,120
255  702  859  890  956,118
571  702  890  956,124
255  571  702  890  956,123
255  571  702  890,125
255  702  890,127
702  890  956,127
255  702  890  956,125
255  571  702,131
571  702  956,131
255  571  702  956,129
255  702,134
255  702  956,132
702  956,135
49 ,137
269 ,145
16  358,111
16  358  450,111
16  358  944,110
16  358  450  944,110
16  450,112
16  450  944,110
16  944,126
177  180  891,101
177  180  205  891,100
180  217  891,102
180  205  217  891,101
180  205  891,103
217  785  891,101
177  785  891,102
205  785  891,102
177  205  785  891,100
177  891,108
177  205  891,105
205  891,108
177  217  891,104
177  205  217  891,102
205  217  891,105
656 ,154
140  656,106
171  227  289  462  541  946  964,103
171  227  289  462  541  674  946  964,100
171  227  289  462  541  674  964,104
171  227  289  462  541  946,109
171  227  289  462  541  674,109
171  227  289  462  541  674  946,105
227  289  462  541  964,115
227  289  462  541  674  964,111
227  289  462  541  946  964,109
227  289  462  541  674  946  964,106
227  289  462  541  674  946,111
227  289  462  541  674,116
171  289  462  541  674,116
171  289  462  541  674  946,112
171  289  462  541  946,117
171  289  462  541  946  964,110
171  289  462  541  674  946  964,107
171  289  462  541  674  964,111
289  462  541  946  964,116
289  462  541  674  946  964,113
289  462  541  674  964,118
289  462  541  946,123
289  462  541  674,123
289  462  541  674  946,118
227  289  462  946,123
227  289  462  674  946,119
227  289  462  674,125
227  289  462  964,123
227  289  462  674  964,118
227  289  462  946  964,115
227  289  462  674  946  964,112
289  462  674  946  964,120
289  462  674  964,126
171  289  462  946  964,117
171  289  462  674  946  964,114
171  289  462  674  964,118
171  227  289  462  946  964,109
171  227  289  462  674  946  964,106
171  227  289  462  674  964,110
171  227  289  462  674,117
171  227  289  462  946,117
171  227  289  462  674  946,113
171  289  462  674,125
171  289  462  674  946,121
171  289  462  946,126
289  462  946,132
289  462  674  946,127
289  462  674,133
171  227  462  541,125
171  227  462  541  674,120
171  227  462  541  964,117
171  227  462  541  674  964,113
227  462  541  674  964,121
227  462  541  946  964,118
227  462  541  674  946  964,115
171  227  462  541  946  964,111
171  227  462  541  674  946  964,108
171  227  462  541  674  946,114
227  462  541  674  946,121
227  462  541  674,128
462  541  946  964,127
462  541  674  946  964,124
462  541  674  964,130
171  462  541  946  964,119
171  462  541  674  946  964,116
171  462  541  674  964,121
171  462  541  946,127
171  462  541  674  946,122
171  462  541  674,128
462  541  946,135
462  541  674  946,130
462  541  674,137
171  462  946,137
171  462  674  946,132
171  462  674,138
171  462  946  964,127
171  462  674  946  964,124
171  462  674  964,129
462  946  964,135
462  674  946  964,132
462  674  964,139
227  462  964,134
227  462  674  964,129
171  227  462  964,124
171  227  462  674  964,120
171  227  462  674,129
171  227  462  946  964,118
171  227  462  674  946  964,115
227  462  674  946  964,122
171  227  462  946,127
171  227  462  674  946,123
227  462  674  946,130
227  462  674,138
462  946,145
462  674  946,140
462  674,148
927 ,156
367 ,158
453  884  931,100
884  920  931,103
884  920  931  937,101
45  541  884  931,100
45  884  931  937,101
541  884  931,105
541  884  931  937,102
884  931  937,108
453  920  931  937,100
453  541  920  931,100
45  453  931  937,103
45  453  541  931,103
45  453  541  931  937,101
453  541  931,109
453  931  937,109
453  541  931  937,106
45  920  931,108
45  920  931  937,106
45  541  920  931,103
45  541  920  931  937,101
541  920  931  937,106
920  931  937,112
45  541  931,111
45  541  931  937,108
45  931  937,113
541  931,118
541  931  937,114
931  937,122
29  846  883,127
29  597  846  883,120
29  597  883,128
29  846,136
29  597  846,129
29  597,138
372  682  802,164
372  802  922,164
372  682  802  922,161
372  802  844  922,159
372  682  802  844,159
372  682  802  844  922,156
372  682  844,164
372  844  922,164
372  682  844  922,161
372  510  802  922,159
372  510  682  802,159
372  510  682  802  922,156
372  510  682  802  844,156
372  510  802  844  922,156
372  510  682  802  844  922,153
372  510  844,164
372  510  682,164
372  510  682  844,161
372  510  682  922,161
372  510  844  922,161
372  510  682  844  922,158
372  922,169
372  682,169
372  682  922,166
214  324  346  750,143
170  214  324  346  750,137
170  324  346  750,144
214  324  346,153
170  324  346,153
170  214  324  346,146
214  324  750,154
170  214  324  750,147
170  324  750,155
170  324,165
214  324,165
170  214  324,157
156  47  775,159
156  27  47  775,155
156  27  47,162
156  322  47  775,153
156  27  322  47  775,150
156  27  322  47,156
322  47  775,160
27  322  47  775,157
27  322  47,163
47  775,168
27  47  775,164
27  47,171
661  821  960,163
753  821  960,163
661  753  821  960,157
753  821,173
661  821,173
661  753  821,167
847 ,179
37  847,100
167  427  766  83,137
427  675  766  83,137
167  427  675  766  83,131
427  675  766  83  949,131
167  427  675  766  83  949,126
167  427  766  83  949,132
167  427  675  83,142
167  427  675  83  949,137
167  427  83  949,145
427  675  83,151
427  675  83  949,145
427  83  949,153
167  675  766  83,145
167  675  766  83  949,140
675  766  83  949,146
167  766  83,154
766  83  949,154
167  766  83  949,147
167  675  83,157
167  675  83  949,152
675  83  949,162
167  83,169
167  83  949,162
83  949,173
247 ,181
247  354,106
246 ,183
609 ,184
296  609,177
255  88  890  956,119
255  571  88  890  956,118
255  571  88  890,122
255  88  956,127
255  571  88  956,125
255  571  88,129
255  859  88  890  956,112
255  571  859  88  890  956,111
255  571  859  88  890,115
255  859  88  956,119
255  571  859  88  956,117
255  571  859  88,121
255  859  890  956,120
255  571  859  890  956,118
255  571  859  890,122
255  859  956,127
255  571  859  956,124
255  571  859,128
255  890  956,128
255  571  890  956,126
255  571  890,130
255  956,136
255  571  956,133
255  571,137
802  844  922,162
682  802  844,162
682  802  844  922,159
510  802  844,162
510  802  922,162
510  802  844  922,159
510  682  802  922,159
510  682  802  844,159
510  682  802  844  922,156
802  922,167
682  802  922,164
682  802,168
24  38  387,122
24  38  387  915,112
24  387  915,124
24  38,140
24  38  915,126
24  915,142
773 ,192
45  769  999,100
769  896  999,101
769  883  999,102
896  999,112
45  896  999,106
45  883  999,101
883  896  999,102
45  999,115
480  743  745,177
480  743  782,177
480  743  745  782,171
743  745,187
743  745  782,181
743  782,188
129  644  78  922  94,164
129  644  78  922  926  94,162
129  198  644  78  922  94,160
129  198  644  78  922  926  94,158
129  198  644  78  926  94,162
129  644  78  926  94,166
198  644  78  94,169
198  644  78  926  94,166
198  644  78  922  94,165
198  644  78  922  926  94,162
644  78  922  926  94,166
644  78  926  94,170
129  198  644  922  94,167
129  198  644  922  926  94,165
129  198  644  926  94,169
129  644  922  94,173
129  644  922  926  94,170
129  644  926  94,174
198  644  922  94,174
198  644  922  926  94,171
198  644  926  94,175
644  926  94,180
644  922  94,180
644  922  926  94,176
129  644  78  922,176
129  644  78  922  926,173
129  644  78  926,177
129  198  644  78  922,171
129  198  644  78  922  926,168
129  198  644  78  926,172
198  644  78  922,176
198  644  78  926,176
198  644  78  922  926,172
644  78  926,181
644  78  922,181
644  78  922  926,177
198  644  926,186
198  644  922,186
198  644  922  926,182
129  198  644  922,179
129  198  644  922  926,176
129  198  644  926,180
129  644  926,186
129  644  922,186
129  644  922  926,182
644  926,192
644  922  926,188
644  922,193
14  653  887,170
14  160  653  887,162
14  160  653,174
14  887,183
14  160  887,174
14  160,186
286 ,199
276  286,101
403  452  5  653  708  886,144
357  403  452  5  653  708  886,142
357  452  5  653  708  886,146
403  452  653  708  886,150
357  403  452  653  708  886,148
357  452  653  708  886,152
403  452  5  653  708,151
357  403  452  5  653  708,149
357  452  5  653  708,153
403  452  653  708,157
357  403  452  653  708,155
357  452  653  708,159
403  452  708  886,158
357  403  452  708  886,155
357  452  708  886,159
403  452  5  708  886,151
357  403  452  5  708  886,148
357  452  5  708  886,152
403  452  5  708,158
357  403  452  5  708,155
357  452  5  708,159
403  452  708,165
357  403  452  708,162
357  452  708,166
403  452  5  653  886,153
357  403  452  5  653  886,151
357  452  5  653  886,155
403  452  653  886,159
357  403  452  653  886,157
357  452  653  886,161
403  452  5  653,161
357  403  452  5  653,159
357  452  5  653,163
403  452  653,167
357  403  452  653,165
357  452  653,169
403  452  5  886,161
357  403  452  5  886,157
357  452  5  886,162
403  452  886,168
357  403  452  886,164
357  452  886,169
403  452  5,169
357  403  452  5,165
357  452  5,170
403  452,176
357  403  452,172
357  452,177
275  305  471,180
275  305  368  471,172
305  368  471,181
275  305,193
275  305  368,185
305  368,194
198  89  932,143
198  518  89  932,139
198  518  89,146
89  932,155
518  89  932,150
518  89,159
26  466  486,130
26  326  466  486,127
26  326  466,131
466  486,142
326  466  486,138
326  466,143
589  720,199
589  720  792,188
589  792,200
110  368  734  795  983,147
110  368  734  983  995,147
110  368  734  795  983  995,144
110  734  983  995,151
110  734  795  983,151
110  734  795  983  995,148
110  368  734  995,152
110  368  734  795,152
110  368  734  795  995,149
110  734  795,158
110  734  995,158
110  734  795  995,155
368  734  983  995,161
368  734  795  983,161
368  734  795  983  995,158
734  795  983,166
734  983  995,166
734  795  983  995,163
368  734  795,166
368  734  995,166
368  734  795  995,163
734  795,173
734  795  995,170
734  995,174
27  892,155
217  892,155
217  27  892,147
706  902,104
145  902,107
267  296  411  440  803,177
209  267  296  411  440  803,172
267  296  329  411  440  803,171
209  267  296  329  411  440  803,167
209  267  296  329  411  803,173
209  267  296  411  803,178
267  296  329  803,189
209  267  296  329  803,185
267  296  329  440  803,183
209  267  296  329  440  803,179
209  267  296  440  803,184
209  267  296  803,190
209  267  411  440  803,181
209  267  329  411  440  803,176
209  267  329  411  803,182
267  329  411  803,190
267  411  440  803,190
267  329  411  440  803,184
209  267  440  803,193
209  267  329  440  803,188
209  267  329  803,194
267  440  803,202
267  329  803,202
267  329  440  803,196
209  267  411  440  722  803,171
209  267  329  411  440  722  803,168
209  267  329  411  722  803,174
209  267  440  722  803,179
209  267  329  440  722  803,176
209  267  329  722  803,182
209  267  296  411  440  722  803,166
209  267  296  329  411  440  722  803,163
267  296  329  411  440  722  803,167
209  267  296  411  722  803,172
209  267  296  329  411  722  803,169
267  296  329  411  722  803,173
209  267  296  440  722  803,174
209  267  296  329  440  722  803,171
267  296  329  440  722  803,175
209  267  296  722  803,180
209  267  296  329  722  803,177
267  296  329  722  803,181
267  411  440  722  803,180
267  329  411  440  722  803,176
267  329  411  722  803,182
267  440  722  803,188
267  329  440  722  803,184
267  329  722  803,190
267  296  411  722,189
267  296  329  411  722,185
267  296  329  722,194
267  296  440  722,189
267  296  329  440  722,185
267  296  411  440  722,180
267  296  329  411  440  722,176
267  329  411  440  722,185
267  329  440  722,194
209  267  296  440  722,184
209  267  296  329  440  722,181
209  267  329  440  722,186
209  267  296  411  440  722,175
209  267  296  329  411  440  722,172
209  267  329  411  440  722,177
209  267  296  411  722,183
209  267  296  329  411  722,180
209  267  329  411  722,186
209  267  296  722,192
209  267  296  329  722,189
209  267  329  722,195
267  411  722,199
267  329  411  722,195
267  329  722,204
267  296  329  411  440,181
209  267  296  329  411  440,177
209  267  296  411  440,182
267  296  329  411,190
209  267  296  411,190
209  267  296  329  411,185
267  296  329  440,194
209  267  296  329  440,190
209  267  296  440,195
209  267  296,203
267  296  329,203
209  267  296  329,198
267  411  440,200
267  329  411  440,194
209  267  411  440,191
209  267  329  411  440,186
209  267  329  411,195
267  329  411,204
209  267,213
209  267  329,208
209  267  440,204
209  267  329  440,199
267  329  440,207
267  329,217
313  390  692,154
313  390  692  829,151
313  692  829,157
313  390,164
313  390  829,157
313  829,167
144  439  815  900,104
144  439  523  900,104
144  439  523  815  900,100
144  439  66  815  900,100
144  439  523  66  900,101
144  439  523  815,103
144  439  523  66  815,100
144  439  66  815,104
144  439  523,110
144  439  523  66,107
144  439  66,111
439  815  900,115
439  66  815  900,111
439  523  815  900,110
439  523  66  815  900,107
439  523  66  900,112
439  66  900,116
439  523  815,113
439  523  66  815,110
439  66  815,115
439  66,123
439  523  66,118
439  523,127
86 ,229
338  735,104
338  385,105
21  338,105
210  338,105
125  130  698,203
125  130  698  839,195
125  698  839,204
130  698,223
130  698  839,213
698  839,224
120  655  680,136
120  655  680  828,128
655  680  828,138
680  828,157
120  680  828,145
120  680,158
179  265  37  377  415  68,187
113  179  265  37  377  415  68,183
179  265  37  377  411  415  68,182
113  179  265  37  377  411  415  68,178
113  179  265  37  377  411  415,183
113  179  265  37  377  415,189
179  265  37  411  415,194
113  179  265  37  411  415,190
179  265  37  411  415  68,189
113  179  265  37  411  415  68,185
113  179  265  37  415  68,190
113  179  265  37  415,196
179  265  377  411  415,196
113  179  265  377  411  415,192
179  265  377  411  415  68,191
113  179  265  377  411  415  68,187
113  179  265  377  415  68,192
113  179  265  377  415,198
179  265  415  68,203
113  179  265  415  68,199
179  265  411  415  68,198
113  179  265  411  415  68,194
113  179  265  411  415,199
113  179  265  415,205
179  265  37  377  411,196
113  179  265  37  377  411,192
113  179  265  37  377,198
179  265  37  377  411  68,190
113  179  265  37  377  411  68,186
113  179  265  37  377  68,191
179  265  37  411  68,197
113  179  265  37  411  68,193
113  179  265  37  68,198
179  265  37  411,204
113  179  265  37  411,200
113  179  265  37,206
179  265  411  68,208
113  179  265  411  68,204
113  179  265  68,209
179  265  377  411  68,201
113  179  265  377  411  68,197
113  179  265  377  68,202
179  265  377  411,207
113  179  265  377  411,203
113  179  265  377,209
179  265  411,215
113  179  265  411,211
113  179  265,217
179  37  377  411  415  68,195
113  179  37  377  411  415  68,191
113  179  37  377  411  415,196
179  37  377  415  68,201
113  179  37  377  415  68,197
113  179  37  377  415,203
179  37  411  415  68,202
113  179  37  411  415  68,198
113  179  37  411  415,203
179  37  415  68,208
113  179  37  415  68,204
113  179  37  415,210
179  377  415  68,210
113  179  377  415  68,206
113  179  377  415,212
179  377  411  415  68,204
113  179  377  411  415  68,200
113  179  377  411  415,205
179  411  415  68,211
113  179  411  415  68,207
113  179  411  415,212
179  415  68,217
113  179  415  68,213
113  179  415,219
179  37  411  68,212
113  179  37  411  68,207
113  179  37  68,213
179  37  377  68,211
113  179  37  377  68,206
179  37  377  411  68,205
113  179  37  377  411  68,200
113  179  37  377  411,206
113  179  37  377,213
179  37  411,219
113  179  37  411,214
113  179  37,221
179  377  411,222
113  179  377  411,217
113  179  377,224
179  377  411  68,216
113  179  377  411  68,211
113  179  377  68,217
179  411  68,223
113  179  411  68,218
113  179  68,224
179  411,230
113  179  411,225
113  179,232
592 ,239
575 ,240
350  43  556  815,174
196  350  556  815,174
196  350  43  556  815,166
43  556  815,184
196  43  556  815,176
196  556  815,185
196  350  556,184
196  350  43  556,175
196  43  556,185
350  556,198
350  43  556,186
43  556,200
387  915,138
38  387  915,121
38  915,143
670  774,226
558  670  774,214
558  670,231
757  978,211
757  970  978,195
757  970,215
205  306,125
205  306  593,113
306  593,127
401  679  897,181
401  571  679  897,167
401  571  679,183
679  897,204
571  679,204
571  679  897,186
138  486,222
138  307  486,213
138  307,224
303  554  96,112
258  303  554  96,109
303  554  96  998,109
258  303  554  998,109
258  303  554  96  998,106
258  303  554,114
303  96  998,117
258  303  96  998,114
258  303  96,118
303  998,124
258  303  998,118
258  303,127
444  568  57  694,162
444  568  57  598  694,159
444  568  598  694,165
444  568  57,170
444  568  57  598,167
444  568  598,176
444  57  694,240
444  57  598  694,236
444  598  694,243
444  57,248
444  57  598,244
444  598,256
317  640  865,125
143  317  640  865,117
143  317  865,127
143  317,142
143  317  640,129
317  640,200
758  866  895,250
400  758  866  895,247
400  866  895,254
758  866,258
400  758  866,255
400  866,263
173  596  630  649  919,172
173  596  630  649  809  919,168
596  630  649  809  919,173
596  649  809  919,181
173  596  649  809  919,176
173  596  649  919,182
596  630  809  919,188
173  596  630  809  919,181
173  596  809  919,189
596  630  919,197
173  596  630  919,188
173  596  919,198
596  630  649  789  809  919,163
173  596  630  649  789  919,163
173  596  630  649  789  809  919,159
596  649  789  809  919,169
173  596  649  789  809  919,165
173  596  649  789  919,170
596  630  649  789  809,172
173  596  630  649  789,172
173  596  630  649  789  809,167
596  649  789  809,179
173  596  649  789  809,174
173  596  649  789,180
173  596  789  809  919,178
596  630  789  809  919,178
173  596  630  789  809  919,172
173  596  789  919,185
173  596  630  789  919,178
596  630  789  919,186
173  596  789  809,189
596  630  789  809,189
173  596  630  789  809,182
173  596  789,197
173  596  630  789,189
596  630  789,199
173  596  630  649,184
173  596  630  649  809,179
596  630  649  809,185
596  630  809,202
173  596  630,202
173  596  630  809,194
596  649  809,229
173  596  649  809,221
173  596  649,231
596  809,249
173  596  809,238
173  596,252
370  923  932  977,217
370  797  932  977,217
370  797  923  932  977,209
370  923  932  947  977,200
370  797  932  947  977,200
370  797  923  932  947  977,193
923  932  947  977,215
797  923  932  947  977,206
797  932  947  977,216
923  932  977,232
797  923  932  977,222
797  932  977,233
370  923  947  977,214
370  797  923  947  977,206
370  797  947  977,216
370  923  977,232
370  797  923  977,223
370  797  977,235
923  947  977,233
797  923  947  977,222
797  947  977,235
923  977,251
797  923  977,239
797  977,254
331  639  992,123
331  335  639  992,123
331  639  720,123
331  639  720  992,121
331  335  639  720,123
331  335  639  720  992,121
331  335  639,125
331  992,126
331  720  992,123
331  335  992,125
331  335  720  992,123
331  509  639,123
331  509  639  992,122
331  335  509  639,123
331  335  509  639  992,122
331  509  639  720,121
331  509  639  720  992,120
331  335  509  639  720,121
331  335  509  639  720  992,120
331  509  720  992,122
331  335  509  720  992,122
331  335  509  720,123
331  509  992,124
331  335  509  992,124
331  335  509,125
331  335,128
331  720,128
331  335  720,125
308  331,133
554  659  81,254
554  797  81,254
554  659  797  81,247
554  718  81,253
554  718  797  81,246
554  659  718  81,246
659  718  797  81,246
554  659  718  797  81,239
718  797  81,254
659  81,262
659  797  81,255
797  81,263
825  845  997,101
692  845  997,104
315  692  845  997,102
315  845  997,105
484  825  997,109
315  484  825  997,104
484  692  825  997,104
315  484  692  825  997,101
315  484  692  997,106
315  484  997,110
315  825  997,112
315  692  825  997,109
692  825  997,113
315  997,119
315  692  997,114
692  997,183
206  742,109
206  32,115
162  206  851,116
162  206  591  851,113
162  206  289  851,108
162  206  289  591  851,105
206  289  591  851,111
206  591  851,120
206  289  480  851,104
206  289  480  591  851,101
162  206  480  851,104
162  206  480  591  851,102
206  480  591  851,109
162  206  289  480,108
162  206  289  480  591,105
206  289  480  591,111
162  206  480,116
162  206  480  591,113
206  480  591,120
206  289,130
206  289  591,124
162  206  289,121
162  206  289  591,117
162  206  591,126
206  591,134
583  736  799,113
583  736  738  799,110
583  638  736  799,107
583  638  736  738  799,105
583  638  738  799,111
583  738  799,117
638  736  799,115
638  736  738  799,112
736  738  799,118
638  799,123
638  738  799,119
738  799,130
775  799,135
775  799  918,124
799  918,137
779 ,280
392  779,145
182  229  276  417  650,211
182  229  276  417  529  650,206
182  276  417  529  650,215
182  229  417  650,222
182  229  417  529  650,216
182  417  529  650,225
229  276  417  650,223
229  276  417  529  650,218
276  417  529  650,228
229  417  650,237
229  417  529  650,230
417  529  650,240
182  229  276  650,230
182  229  276  529  650,224
182  276  529  650,236
229  276  650,244
229  276  529  650,238
276  529  650,251
182  229  650,247
182  229  529  650,237
182  529  650,250
229  650,265
229  529  650,253
529  650,267
1  349  578  8  881,134
349  48  578  8  881,134
1  349  48  578  8  881,130
48  578  8  881,140
1  578  8  881,140
1  48  578  8  881,136
349  48  578  881,140
1  349  48  578  881,136
1  349  578  881,141
48  578  881,146
1  48  578  881,142
1  578  881,147
349  48  8  881,140
1  349  8  881,140
1  349  48  8  881,136
1  8  881,146
48  8  881,146
1  48  8  881,142
1  349  881,147
1  349  48  881,142
1  48  881,148
349  881,154
48  881,154
349  48  881,146
182  276  417,238
182  276  417  529,229
182  229  276  417,226
182  229  276  417  529,219
182  229  417  529,230
182  417  529,240
182  229  276,248
182  229  276  529,240
182  276  529,254
182  229,266
182  229  529,254
182  529,269
165  175  529  71  752,113
165  175  529  71  752  922,110
165  529  71  752  922,113
165  175  71  752,119
165  71  752  922,119
165  175  71  752  922,116
165  175  529  71  752  857,106
165  175  529  71  752  857  922,103
165  529  71  752  857  922,106
165  175  71  752  857,111
165  71  752  857  922,111
165  175  71  752  857  922,108
165  175  529  752  857,112
165  175  529  752  857  922,109
165  529  752  857  922,113
165  175  752  857,118
165  175  752  857  922,115
165  752  857  922,119
165  175  529  752,119
165  175  529  752  922,116
165  529  752  922,121
165  175  752,126
165  175  752  922,123
165  752  922,128
165  529  71  857  922,110
165  175  529  71  857  922,107
165  175  529  71  857,111
165  71  857  922,115
165  175  71  857  922,112
165  175  71  857,116
165  71  922,125
165  175  71  922,122
165  529  71  922,119
165  175  529  71  922,116
165  175  529  71,120
165  175  71,126
165  529  857  922,118
165  175  529  857  922,114
165  175  529  857,119
165  857  922,124
165  175  857  922,120
165  175  857,126
165  529  922,129
165  175  529  922,123
165  175  922,130
165  175,137
165  175  529,128
165  529,158
114  230  844,129
114  230  844  928,124
230  39  844  928,123
114  230  39  844  928,119
114  230  39  844,124
230  844  928,130
230  39  928,134
114  230  39  928,130
114  230  928,135
114  230,142
114  230  39,136
230  39,145
521  627  705,270
28  521  627  705,263
28  521  627,272
239  521  627  705,259
239  28  521  627  705,254
239  28  521  627,263
239  627  705,270
239  28  627  705,265
239  28  627,274
627  705,282
28  627  705,275
28  627,284
120  124  581,240
120  124  581  834,232
120  124  205  581,228
120  124  205  581  834,221
124  205  581  834,231
124  581  834,244
124  205  834,244
120  124  205  834,234
120  124  834,245
124  205,258
120  124,258
120  124  205,243
122  343  390  535  675,243
122  161  343  390  535  675,237
122  161  390  535  675,245
343  390  535  675,255
161  343  390  535  675,248
161  390  535  675,256
122  535  675,266
122  161  535  675,258
122  343  535  675,254
122  161  343  535  675,248
161  343  535  675,259
161  535  675,269
122  343  390  535,258
122  161  343  390  535,252
122  161  390  535,260
343  390  535,270
161  343  390  535,263
161  390  535,271
122  343  535,269
122  161  343  535,263
122  161  535,273
343  535,282
161  343  535,274
161  535,284
68  864,100
774  864,108
774  864  947,102
864  947,114
384  864,141
384  64  864,136
64  864,148
264  572  766,236
264  55  572  766,225
264  55  572,241
264  766,256
264  55  766,244
264  55,267
210  440  477  482  740,144
151  210  440  477  482  740,140
151  210  440  482  740,147
210  477  482  740,153
151  210  477  482  740,148
151  210  482  740,155
210  440  477  482,158
151  210  440  477  482,152
151  210  440  482,159
151  210  482,167
151  210  477  482,160
210  477  482,169
440  477  482  740,155
151  440  477  482  740,149
151  477  482  740,158
440  477  482,170
151  440  477  482,161
151  477  482,171
440  482  740,211
151  440  482  740,201
151  440  482,214
482  740,227
151  482  740,213
151  482,229
443  601  809  841  883,121
529  601  809  841  883,121
443  529  601  809  841  883,120
529  601  809  841,128
443  601  809  841,128
443  529  601  809  841,127
529  601  809  883,130
443  601  809  883,130
443  529  601  809  883,129
529  601  809,137
443  529  601  809,136
443  601  809,139
443  601  841  883,129
443  529  601  841  883,128
529  601  841  883,131
443  601  841,137
443  529  601  841,136
529  601  841,140
443  601  883,140
443  529  601  883,138
529  601  883,141
529  601,160
443  529  601,153
443  601,218
347  402  577  804,245
347  402  577  722  804,233
402  577  722  804,247
347  402  577,262
347  402  577  722,250
402  577  722,264
347  402  804,261
347  402  722  804,249
402  722  804,266
347  402,283
347  402  722,270
402  722,288
294  88,106
294  603  88,100
682  88,106
603  682  88,100
381  88,108
381  603  88,101
603  88,109
350  88,109
350  603  88,101
859  88  890  956,114
571  859  88  890  956,112
571  859  88  890,116
88  890  956,121
571  88  890  956,119
