,freq_items,frequency
76,'391'  '534'  '758'  '829',103
77,'391'  '758'  '829',107
78,'295'  '391'  '534',106
79,'295'  '391'  '534'  '829',105
80,'295'  '391'  '829',108
81,'391'  '534',110
82,'391'  '534'  '829',109
83,'391'  '829',113
84,'56'  '663'  '862',100
85,'56'  '663'  '694',101
86,'56'  '663'  '775',102
87,'56'  '694',109
88,'56'  '694'  '775',107
89,'56'  '694'  '862',104
90,'56'  '694'  '775'  '862',102
91,'56'  '775'  '862',105
92,'56'  '775',110
93,'662' ,114
94,'100'  '91',103
95,'594'  '91',105
96,'142'  '91',106
97,'228'  '82',103
98,'228'  '511',105
99,'228'  '511'  '760',100
100,'228'  '982',107
101,'228'  '760'  '982',104
102,'228'  '760',113
103,'131'  '501'  '554',101
104,'131'  '242'  '501',102
105,'501'  '554',111
106,'242'  '501'  '554',106
107,'242'  '501',113
108,'42' ,119
109,'545'  '72'  '749',116
110,'268'  '545'  '72'  '749',116
111,'545'  '606'  '749',116
112,'545'  '606'  '72'  '749',115
113,'268'  '545'  '606'  '749',116
114,'268'  '545'  '606'  '72'  '749',115
115,'545'  '606'  '749'  '841',115
116,'268'  '545'  '606'  '749'  '841',115
117,'545'  '72'  '749'  '841',115
118,'545'  '606'  '72'  '749'  '841',114
119,'268'  '545'  '72'  '749'  '841',115
120,'268'  '545'  '606'  '72'  '749'  '841',114
121,'268'  '545'  '749'  '841',116
122,'351'  '545'  '749'  '841',115
123,'268'  '351'  '545'  '749'  '841',115
124,'351'  '545'  '606'  '749',115
125,'351'  '545'  '606'  '749'  '841',114
126,'268'  '351'  '545'  '606'  '749',115
127,'268'  '351'  '545'  '606'  '749'  '841',114
128,'351'  '545'  '606'  '72'  '749',114
129,'268'  '351'  '545'  '606'  '72'  '749',114
130,'351'  '545'  '72'  '749'  '841',114
131,'351'  '545'  '606'  '72'  '749'  '841',113
132,'268'  '351'  '545'  '72'  '749'  '841',114
133,'268'  '351'  '545'  '606'  '72'  '749'  '841',113
134,'268'  '351'  '545'  '72'  '749',115
135,'268'  '351'  '545'  '749',116
136,'268'  '545'  '749',117
137,'351'  '545',118
138,'268'  '351'  '545',118
139,'545'  '841',118
140,'351'  '545'  '841',117
141,'268'  '545'  '841',118
142,'268'  '351'  '545'  '841',117
143,'545'  '606'  '841',117
144,'268'  '545'  '606'  '841',117
145,'351'  '545'  '606',117
146,'351'  '545'  '606'  '841',116
147,'268'  '351'  '545'  '606',117
148,'268'  '351'  '545'  '606'  '841',116
149,'268'  '545'  '606',118
150,'545'  '606'  '72',117
151,'268'  '545'  '606'  '72',117
152,'545'  '72'  '841',117
153,'545'  '606'  '72'  '841',116
154,'268'  '545'  '72'  '841',117
155,'268'  '545'  '606'  '72'  '841',116
156,'351'  '545'  '72'  '841',116
157,'268'  '351'  '545'  '72'  '841',116
158,'351'  '545'  '606'  '72',116
159,'351'  '545'  '606'  '72'  '841',115
160,'268'  '351'  '545'  '606'  '72',116
161,'268'  '351'  '545'  '606'  '72'  '841',115
162,'268'  '351'  '545'  '72',117
163,'268'  '545'  '72',118
164,'268'  '545',119
165,'19'  '810',112
166,'19'  '885',112
167,'19'  '810'  '885',106
168,'872' ,122
169,'222'  '827',101
170,'222'  '403',102
171,'222'  '684',103
172,'222'  '686',104
173,'222'  '275',104
174,'23'  '395',119
175,'23'  '280'  '395',114
176,'23'  '280',121
177,'686'  '827',106
178,'403'  '684'  '827',100
179,'275'  '403'  '827',101
180,'684'  '827',107
181,'275'  '684'  '827',101
182,'275'  '827',108
183,'979' ,132
184,'257' ,132
185,'985' ,132
186,'476'  '536'  '914',100
187,'319'  '476'  '536',100
188,'476'  '914',105
189,'319'  '476'  '914',104
190,'145'  '476'  '914',103
191,'145'  '319'  '476',103
192,'145'  '319'  '476'  '914',102
193,'319'  '476',106
194,'115'  '517'  '635'  '744',104
195,'115'  '635'  '744'  '844',106
196,'115'  '635'  '744'  '845',105
197,'517'  '635'  '744'  '845',105
198,'635'  '744'  '844'  '845',105
199,'115'  '635'  '744'  '844'  '845',100
200,'517'  '635'  '744',112
201,'517'  '635'  '744'  '844',106
202,'635'  '744'  '844',113
203,'115'  '517'  '635',116
204,'115'  '517'  '635'  '844',111
205,'115'  '517'  '635'  '845',110
206,'517'  '635'  '844'  '845',110
207,'115'  '517'  '635'  '844'  '845',105
208,'517'  '635'  '844',118
209,'115'  '635'  '845',119
210,'115'  '635'  '844'  '845',113
211,'115'  '635'  '844',120
212,'635'  '845',127
213,'635'  '844'  '845',119
214,'635'  '844',128
215,'571'  '702'  '88',126
216,'571'  '702'  '88'  '956',124
217,'255'  '571'  '702'  '88',124
218,'255'  '702'  '88'  '956',124
219,'255'  '571'  '702'  '88'  '956',122
220,'702'  '88'  '956',127
221,'571'  '702'  '859'  '88',118
222,'571'  '702'  '859'  '88'  '956',116
223,'255'  '571'  '702'  '859'  '88',116
224,'255'  '702'  '859'  '88'  '956',116
225,'255'  '571'  '702'  '859'  '88'  '956',114
226,'702'  '859'  '88'  '956',119
227,'255'  '571'  '702'  '859',123
228,'571'  '702'  '859'  '956',123
229,'255'  '571'  '702'  '859'  '956',121
230,'255'  '702'  '859',126
231,'255'  '702'  '859'  '956',124
232,'702'  '859'  '956',127
233,'255'  '702'  '859'  '88'  '890',112
234,'702'  '859'  '88'  '890'  '956',112
235,'255'  '702'  '859'  '88'  '890'  '956',110
236,'571'  '702'  '859'  '88'  '890'  '956',110
237,'255'  '571'  '702'  '859'  '88'  '890'  '956',109
238,'255'  '571'  '702'  '859'  '88'  '890',111
239,'571'  '702'  '88'  '890',119
240,'702'  '88'  '890'  '956',119
241,'571'  '702'  '88'  '890'  '956',117
242,'255'  '702'  '88'  '890'  '956',117
243,'255'  '571'  '702'  '88'  '890'  '956',116
244,'255'  '571'  '702'  '88'  '890',118
245,'571'  '702'  '859'  '890'  '956',117
246,'255'  '571'  '702'  '859'  '890'  '956',116
247,'255'  '571'  '702'  '859'  '890',118
248,'702'  '859'  '890'  '956',120
249,'255'  '702'  '859'  '890',120
250,'255'  '702'  '859'  '890'  '956',118
251,'571'  '702'  '890'  '956',124
252,'255'  '571'  '702'  '890'  '956',123
253,'255'  '571'  '702'  '890',125
254,'255'  '702'  '890',127
255,'702'  '890'  '956',127
256,'255'  '702'  '890'  '956',125
257,'255'  '571'  '702',131
258,'571'  '702'  '956',131
259,'255'  '571'  '702'  '956',129
260,'255'  '702',134
261,'255'  '702'  '956',132
262,'702'  '956',135
263,'49' ,137
264,'269' ,145
265,'16'  '358',111
266,'16'  '358'  '450',111
267,'16'  '358'  '944',110
268,'16'  '358'  '450'  '944',110
269,'16'  '450',112
270,'16'  '450'  '944',110
271,'16'  '944',126
272,'177'  '180'  '891',101
273,'177'  '180'  '205'  '891',100
274,'180'  '217'  '891',102
275,'180'  '205'  '217'  '891',101
276,'180'  '205'  '891',103
277,'217'  '785'  '891',101
278,'177'  '785'  '891',102
279,'205'  '785'  '891',102
280,'177'  '205'  '785'  '891',100
281,'177'  '891',108
282,'177'  '205'  '891',105
283,'205'  '891',108
284,'177'  '217'  '891',104
285,'177'  '205'  '217'  '891',102
286,'205'  '217'  '891',105
287,'656' ,154
288,'140'  '656',106
289,'171'  '227'  '289'  '462'  '541'  '946'  '964',103
290,'171'  '227'  '289'  '462'  '541'  '674'  '946'  '964',100
291,'171'  '227'  '289'  '462'  '541'  '674'  '964',104
292,'171'  '227'  '289'  '462'  '541'  '946',109
293,'171'  '227'  '289'  '462'  '541'  '674',109
294,'171'  '227'  '289'  '462'  '541'  '674'  '946',105
295,'227'  '289'  '462'  '541'  '964',115
296,'227'  '289'  '462'  '541'  '674'  '964',111
297,'227'  '289'  '462'  '541'  '946'  '964',109
298,'227'  '289'  '462'  '541'  '674'  '946'  '964',106
299,'227'  '289'  '462'  '541'  '674'  '946',111
300,'227'  '289'  '462'  '541'  '674',116
301,'171'  '289'  '462'  '541'  '674',116
302,'171'  '289'  '462'  '541'  '674'  '946',112
303,'171'  '289'  '462'  '541'  '946',117
304,'171'  '289'  '462'  '541'  '946'  '964',110
305,'171'  '289'  '462'  '541'  '674'  '946'  '964',107
306,'171'  '289'  '462'  '541'  '674'  '964',111
307,'289'  '462'  '541'  '946'  '964',116
308,'289'  '462'  '541'  '674'  '946'  '964',113
309,'289'  '462'  '541'  '674'  '964',118
310,'289'  '462'  '541'  '946',123
311,'289'  '462'  '541'  '674',123
312,'289'  '462'  '541'  '674'  '946',118
313,'227'  '289'  '462'  '946',123
314,'227'  '289'  '462'  '674'  '946',119
315,'227'  '289'  '462'  '674',125
316,'227'  '289'  '462'  '964',123
317,'227'  '289'  '462'  '674'  '964',118
318,'227'  '289'  '462'  '946'  '964',115
319,'227'  '289'  '462'  '674'  '946'  '964',112
320,'289'  '462'  '674'  '946'  '964',120
321,'289'  '462'  '674'  '964',126
322,'171'  '289'  '462'  '946'  '964',117
323,'171'  '289'  '462'  '674'  '946'  '964',114
324,'171'  '289'  '462'  '674'  '964',118
325,'171'  '227'  '289'  '462'  '946'  '964',109
326,'171'  '227'  '289'  '462'  '674'  '946'  '964',106
327,'171'  '227'  '289'  '462'  '674'  '964',110
328,'171'  '227'  '289'  '462'  '674',117
329,'171'  '227'  '289'  '462'  '946',117
330,'171'  '227'  '289'  '462'  '674'  '946',113
331,'171'  '289'  '462'  '674',125
332,'171'  '289'  '462'  '674'  '946',121
333,'171'  '289'  '462'  '946',126
334,'289'  '462'  '946',132
335,'289'  '462'  '674'  '946',127
336,'289'  '462'  '674',133
337,'171'  '227'  '462'  '541',125
338,'171'  '227'  '462'  '541'  '674',120
339,'171'  '227'  '462'  '541'  '964',117
340,'171'  '227'  '462'  '541'  '674'  '964',113
341,'227'  '462'  '541'  '674'  '964',121
342,'227'  '462'  '541'  '946'  '964',118
343,'227'  '462'  '541'  '674'  '946'  '964',115
344,'171'  '227'  '462'  '541'  '946'  '964',111
345,'171'  '227'  '462'  '541'  '674'  '946'  '964',108
346,'171'  '227'  '462'  '541'  '674'  '946',114
347,'227'  '462'  '541'  '674'  '946',121
348,'227'  '462'  '541'  '674',128
349,'462'  '541'  '946'  '964',127
350,'462'  '541'  '674'  '946'  '964',124
351,'462'  '541'  '674'  '964',130
352,'171'  '462'  '541'  '946'  '964',119
353,'171'  '462'  '541'  '674'  '946'  '964',116
354,'171'  '462'  '541'  '674'  '964',121
355,'171'  '462'  '541'  '946',127
356,'171'  '462'  '541'  '674'  '946',122
357,'171'  '462'  '541'  '674',128
358,'462'  '541'  '946',135
359,'462'  '541'  '674'  '946',130
360,'462'  '541'  '674',137
361,'171'  '462'  '946',137
362,'171'  '462'  '674'  '946',132
363,'171'  '462'  '674',138
364,'171'  '462'  '946'  '964',127
365,'171'  '462'  '674'  '946'  '964',124
366,'171'  '462'  '674'  '964',129
367,'462'  '946'  '964',135
368,'462'  '674'  '946'  '964',132
369,'462'  '674'  '964',139
370,'227'  '462'  '964',134
371,'227'  '462'  '674'  '964',129
372,'171'  '227'  '462'  '964',124
373,'171'  '227'  '462'  '674'  '964',120
374,'171'  '227'  '462'  '674',129
375,'171'  '227'  '462'  '946'  '964',118
376,'171'  '227'  '462'  '674'  '946'  '964',115
377,'227'  '462'  '674'  '946'  '964',122
378,'171'  '227'  '462'  '946',127
379,'171'  '227'  '462'  '674'  '946',123
380,'227'  '462'  '674'  '946',130
381,'227'  '462'  '674',138
382,'462'  '946',145
383,'462'  '674'  '946',140
384,'462'  '674',148
385,'927' ,156
386,'367' ,158
387,'453'  '884'  '931',100
388,'884'  '920'  '931',103
389,'884'  '920'  '931'  '937',101
390,'45'  '541'  '884'  '931',100
391,'45'  '884'  '931'  '937',101
392,'541'  '884'  '931',105
393,'541'  '884'  '931'  '937',102
394,'884'  '931'  '937',108
395,'453'  '920'  '931'  '937',100
396,'453'  '541'  '920'  '931',100
397,'45'  '453'  '931'  '937',103
398,'45'  '453'  '541'  '931',103
399,'45'  '453'  '541'  '931'  '937',101
400,'453'  '541'  '931',109
401,'453'  '931'  '937',109
402,'453'  '541'  '931'  '937',106
403,'45'  '920'  '931',108
404,'45'  '920'  '931'  '937',106
405,'45'  '541'  '920'  '931',103
406,'45'  '541'  '920'  '931'  '937',101
407,'541'  '920'  '931'  '937',106
408,'920'  '931'  '937',112
409,'45'  '541'  '931',111
410,'45'  '541'  '931'  '937',108
411,'45'  '931'  '937',113
412,'541'  '931',118
413,'541'  '931'  '937',114
414,'931'  '937',122
415,'29'  '846'  '883',127
416,'29'  '597'  '846'  '883',120
417,'29'  '597'  '883',128
418,'29'  '846',136
419,'29'  '597'  '846',129
420,'29'  '597',138
421,'372'  '682'  '802',164
422,'372'  '802'  '922',164
423,'372'  '682'  '802'  '922',161
424,'372'  '802'  '844'  '922',159
425,'372'  '682'  '802'  '844',159
426,'372'  '682'  '802'  '844'  '922',156
427,'372'  '682'  '844',164
428,'372'  '844'  '922',164
429,'372'  '682'  '844'  '922',161
430,'372'  '510'  '802'  '922',159
431,'372'  '510'  '682'  '802',159
432,'372'  '510'  '682'  '802'  '922',156
433,'372'  '510'  '682'  '802'  '844',156
434,'372'  '510'  '802'  '844'  '922',156
435,'372'  '510'  '682'  '802'  '844'  '922',153
436,'372'  '510'  '844',164
437,'372'  '510'  '682',164
438,'372'  '510'  '682'  '844',161
439,'372'  '510'  '682'  '922',161
440,'372'  '510'  '844'  '922',161
441,'372'  '510'  '682'  '844'  '922',158
442,'372'  '922',169
443,'372'  '682',169
444,'372'  '682'  '922',166
445,'214'  '324'  '346'  '750',143
446,'170'  '214'  '324'  '346'  '750',137
447,'170'  '324'  '346'  '750',144
448,'214'  '324'  '346',153
449,'170'  '324'  '346',153
450,'170'  '214'  '324'  '346',146
451,'214'  '324'  '750',154
452,'170'  '214'  '324'  '750',147
453,'170'  '324'  '750',155
454,'170'  '324',165
455,'214'  '324',165
456,'170'  '214'  '324',157
457,'156'  '47'  '775',159
458,'156'  '27'  '47'  '775',155
459,'156'  '27'  '47',162
460,'156'  '322'  '47'  '775',153
461,'156'  '27'  '322'  '47'  '775',150
462,'156'  '27'  '322'  '47',156
463,'322'  '47'  '775',160
464,'27'  '322'  '47'  '775',157
465,'27'  '322'  '47',163
466,'47'  '775',168
467,'27'  '47'  '775',164
468,'27'  '47',171
469,'661'  '821'  '960',163
470,'753'  '821'  '960',163
471,'661'  '753'  '821'  '960',157
472,'753'  '821',173
473,'661'  '821',173
474,'661'  '753'  '821',167
475,'847' ,179
476,'37'  '847',100
477,'167'  '427'  '766'  '83',137
478,'427'  '675'  '766'  '83',137
479,'167'  '427'  '675'  '766'  '83',131
480,'427'  '675'  '766'  '83'  '949',131
481,'167'  '427'  '675'  '766'  '83'  '949',126
482,'167'  '427'  '766'  '83'  '949',132
483,'167'  '427'  '675'  '83',142
484,'167'  '427'  '675'  '83'  '949',137
485,'167'  '427'  '83'  '949',145
486,'427'  '675'  '83',151
487,'427'  '675'  '83'  '949',145
488,'427'  '83'  '949',153
489,'167'  '675'  '766'  '83',145
490,'167'  '675'  '766'  '83'  '949',140
491,'675'  '766'  '83'  '949',146
492,'167'  '766'  '83',154
493,'766'  '83'  '949',154
494,'167'  '766'  '83'  '949',147
495,'167'  '675'  '83',157
496,'167'  '675'  '83'  '949',152
497,'675'  '83'  '949',162
498,'167'  '83',169
499,'167'  '83'  '949',162
500,'83'  '949',173
501,'247' ,181
502,'247'  '354',106
503,'246' ,183
504,'609' ,184
505,'296'  '609',177
506,'255'  '88'  '890'  '956',119
507,'255'  '571'  '88'  '890'  '956',118
508,'255'  '571'  '88'  '890',122
509,'255'  '88'  '956',127
510,'255'  '571'  '88'  '956',125
511,'255'  '571'  '88',129
512,'255'  '859'  '88'  '890'  '956',112
513,'255'  '571'  '859'  '88'  '890'  '956',111
514,'255'  '571'  '859'  '88'  '890',115
515,'255'  '859'  '88'  '956',119
516,'255'  '571'  '859'  '88'  '956',117
517,'255'  '571'  '859'  '88',121
518,'255'  '859'  '890'  '956',120
519,'255'  '571'  '859'  '890'  '956',118
520,'255'  '571'  '859'  '890',122
521,'255'  '859'  '956',127
522,'255'  '571'  '859'  '956',124
523,'255'  '571'  '859',128
524,'255'  '890'  '956',128
525,'255'  '571'  '890'  '956',126
526,'255'  '571'  '890',130
527,'255'  '956',136
528,'255'  '571'  '956',133
529,'255'  '571',137
530,'802'  '844'  '922',162
531,'682'  '802'  '844',162
532,'682'  '802'  '844'  '922',159
533,'510'  '802'  '844',162
534,'510'  '802'  '922',162
535,'510'  '802'  '844'  '922',159
536,'510'  '682'  '802'  '922',159
537,'510'  '682'  '802'  '844',159
538,'510'  '682'  '802'  '844'  '922',156
539,'802'  '922',167
540,'682'  '802'  '922',164
541,'682'  '802',168
542,'24'  '38'  '387',122
543,'24'  '38'  '387'  '915',112
544,'24'  '387'  '915',124
545,'24'  '38',140
546,'24'  '38'  '915',126
547,'24'  '915',142
548,'773' ,192
549,'45'  '769'  '999',100
550,'769'  '896'  '999',101
551,'769'  '883'  '999',102
552,'896'  '999',112
553,'45'  '896'  '999',106
554,'45'  '883'  '999',101
555,'883'  '896'  '999',102
556,'45'  '999',115
557,'480'  '743'  '745',177
558,'480'  '743'  '782',177
559,'480'  '743'  '745'  '782',171
560,'743'  '745',187
561,'743'  '745'  '782',181
562,'743'  '782',188
563,'129'  '644'  '78'  '922'  '94',164
564,'129'  '644'  '78'  '922'  '926'  '94',162
565,'129'  '198'  '644'  '78'  '922'  '94',160
566,'129'  '198'  '644'  '78'  '922'  '926'  '94',158
567,'129'  '198'  '644'  '78'  '926'  '94',162
568,'129'  '644'  '78'  '926'  '94',166
569,'198'  '644'  '78'  '94',169
570,'198'  '644'  '78'  '926'  '94',166
571,'198'  '644'  '78'  '922'  '94',165
572,'198'  '644'  '78'  '922'  '926'  '94',162
573,'644'  '78'  '922'  '926'  '94',166
574,'644'  '78'  '926'  '94',170
575,'129'  '198'  '644'  '922'  '94',167
576,'129'  '198'  '644'  '922'  '926'  '94',165
577,'129'  '198'  '644'  '926'  '94',169
578,'129'  '644'  '922'  '94',173
579,'129'  '644'  '922'  '926'  '94',170
580,'129'  '644'  '926'  '94',174
581,'198'  '644'  '922'  '94',174
582,'198'  '644'  '922'  '926'  '94',171
583,'198'  '644'  '926'  '94',175
584,'644'  '926'  '94',180
585,'644'  '922'  '94',180
586,'644'  '922'  '926'  '94',176
587,'129'  '644'  '78'  '922',176
588,'129'  '644'  '78'  '922'  '926',173
589,'129'  '644'  '78'  '926',177
590,'129'  '198'  '644'  '78'  '922',171
591,'129'  '198'  '644'  '78'  '922'  '926',168
592,'129'  '198'  '644'  '78'  '926',172
593,'198'  '644'  '78'  '922',176
594,'198'  '644'  '78'  '926',176
595,'198'  '644'  '78'  '922'  '926',172
596,'644'  '78'  '926',181
597,'644'  '78'  '922',181
598,'644'  '78'  '922'  '926',177
599,'198'  '644'  '926',186
600,'198'  '644'  '922',186
601,'198'  '644'  '922'  '926',182
602,'129'  '198'  '644'  '922',179
603,'129'  '198'  '644'  '922'  '926',176
604,'129'  '198'  '644'  '926',180
605,'129'  '644'  '926',186
606,'129'  '644'  '922',186
607,'129'  '644'  '922'  '926',182
608,'644'  '926',192
609,'644'  '922'  '926',188
610,'644'  '922',193
611,'14'  '653'  '887',170
612,'14'  '160'  '653'  '887',162
613,'14'  '160'  '653',174
614,'14'  '887',183
615,'14'  '160'  '887',174
616,'14'  '160',186
617,'286' ,199
618,'276'  '286',101
619,'403'  '452'  '5'  '653'  '708'  '886',144
620,'357'  '403'  '452'  '5'  '653'  '708'  '886',142
621,'357'  '452'  '5'  '653'  '708'  '886',146
622,'403'  '452'  '653'  '708'  '886',150
623,'357'  '403'  '452'  '653'  '708'  '886',148
624,'357'  '452'  '653'  '708'  '886',152
625,'403'  '452'  '5'  '653'  '708',151
626,'357'  '403'  '452'  '5'  '653'  '708',149
627,'357'  '452'  '5'  '653'  '708',153
628,'403'  '452'  '653'  '708',157
629,'357'  '403'  '452'  '653'  '708',155
630,'357'  '452'  '653'  '708',159
631,'403'  '452'  '708'  '886',158
632,'357'  '403'  '452'  '708'  '886',155
633,'357'  '452'  '708'  '886',159
634,'403'  '452'  '5'  '708'  '886',151
635,'357'  '403'  '452'  '5'  '708'  '886',148
636,'357'  '452'  '5'  '708'  '886',152
637,'403'  '452'  '5'  '708',158
638,'357'  '403'  '452'  '5'  '708',155
639,'357'  '452'  '5'  '708',159
640,'403'  '452'  '708',165
641,'357'  '403'  '452'  '708',162
642,'357'  '452'  '708',166
643,'403'  '452'  '5'  '653'  '886',153
644,'357'  '403'  '452'  '5'  '653'  '886',151
645,'357'  '452'  '5'  '653'  '886',155
646,'403'  '452'  '653'  '886',159
647,'357'  '403'  '452'  '653'  '886',157
648,'357'  '452'  '653'  '886',161
649,'403'  '452'  '5'  '653',161
650,'357'  '403'  '452'  '5'  '653',159
651,'357'  '452'  '5'  '653',163
652,'403'  '452'  '653',167
653,'357'  '403'  '452'  '653',165
654,'357'  '452'  '653',169
655,'403'  '452'  '5'  '886',161
656,'357'  '403'  '452'  '5'  '886',157
657,'357'  '452'  '5'  '886',162
658,'403'  '452'  '886',168
659,'357'  '403'  '452'  '886',164
660,'357'  '452'  '886',169
661,'403'  '452'  '5',169
662,'357'  '403'  '452'  '5',165
663,'357'  '452'  '5',170
664,'403'  '452',176
665,'357'  '403'  '452',172
666,'357'  '452',177
667,'275'  '305'  '471',180
668,'275'  '305'  '368'  '471',172
669,'305'  '368'  '471',181
670,'275'  '305',193
671,'275'  '305'  '368',185
672,'305'  '368',194
673,'198'  '89'  '932',143
674,'198'  '518'  '89'  '932',139
675,'198'  '518'  '89',146
676,'89'  '932',155
677,'518'  '89'  '932',150
678,'518'  '89',159
679,'26'  '466'  '486',130
680,'26'  '326'  '466'  '486',127
681,'26'  '326'  '466',131
682,'466'  '486',142
683,'326'  '466'  '486',138
684,'326'  '466',143
685,'589'  '720',199
686,'589'  '720'  '792',188
687,'589'  '792',200
688,'110'  '368'  '734'  '795'  '983',147
689,'110'  '368'  '734'  '983'  '995',147
690,'110'  '368'  '734'  '795'  '983'  '995',144
691,'110'  '734'  '983'  '995',151
692,'110'  '734'  '795'  '983',151
693,'110'  '734'  '795'  '983'  '995',148
694,'110'  '368'  '734'  '995',152
695,'110'  '368'  '734'  '795',152
696,'110'  '368'  '734'  '795'  '995',149
697,'110'  '734'  '795',158
698,'110'  '734'  '995',158
699,'110'  '734'  '795'  '995',155
700,'368'  '734'  '983'  '995',161
701,'368'  '734'  '795'  '983',161
702,'368'  '734'  '795'  '983'  '995',158
703,'734'  '795'  '983',166
704,'734'  '983'  '995',166
705,'734'  '795'  '983'  '995',163
706,'368'  '734'  '795',166
707,'368'  '734'  '995',166
708,'368'  '734'  '795'  '995',163
709,'734'  '795',173
710,'734'  '795'  '995',170
711,'734'  '995',174
712,'27'  '892',155
713,'217'  '892',155
714,'217'  '27'  '892',147
715,'706'  '902',104
716,'145'  '902',107
717,'267'  '296'  '411'  '440'  '803',177
718,'209'  '267'  '296'  '411'  '440'  '803',172
719,'267'  '296'  '329'  '411'  '440'  '803',171
720,'209'  '267'  '296'  '329'  '411'  '440'  '803',167
721,'209'  '267'  '296'  '329'  '411'  '803',173
722,'209'  '267'  '296'  '411'  '803',178
723,'267'  '296'  '329'  '803',189
724,'209'  '267'  '296'  '329'  '803',185
725,'267'  '296'  '329'  '440'  '803',183
726,'209'  '267'  '296'  '329'  '440'  '803',179
727,'209'  '267'  '296'  '440'  '803',184
728,'209'  '267'  '296'  '803',190
729,'209'  '267'  '411'  '440'  '803',181
730,'209'  '267'  '329'  '411'  '440'  '803',176
731,'209'  '267'  '329'  '411'  '803',182
732,'267'  '329'  '411'  '803',190
733,'267'  '411'  '440'  '803',190
734,'267'  '329'  '411'  '440'  '803',184
735,'209'  '267'  '440'  '803',193
736,'209'  '267'  '329'  '440'  '803',188
737,'209'  '267'  '329'  '803',194
738,'267'  '440'  '803',202
739,'267'  '329'  '803',202
740,'267'  '329'  '440'  '803',196
741,'209'  '267'  '411'  '440'  '722'  '803',171
742,'209'  '267'  '329'  '411'  '440'  '722'  '803',168
743,'209'  '267'  '329'  '411'  '722'  '803',174
744,'209'  '267'  '440'  '722'  '803',179
745,'209'  '267'  '329'  '440'  '722'  '803',176
746,'209'  '267'  '329'  '722'  '803',182
747,'209'  '267'  '296'  '411'  '440'  '722'  '803',166
748,'209'  '267'  '296'  '329'  '411'  '440'  '722'  '803',163
749,'267'  '296'  '329'  '411'  '440'  '722'  '803',167
750,'209'  '267'  '296'  '411'  '722'  '803',172
751,'209'  '267'  '296'  '329'  '411'  '722'  '803',169
752,'267'  '296'  '329'  '411'  '722'  '803',173
753,'209'  '267'  '296'  '440'  '722'  '803',174
754,'209'  '267'  '296'  '329'  '440'  '722'  '803',171
755,'267'  '296'  '329'  '440'  '722'  '803',175
756,'209'  '267'  '296'  '722'  '803',180
757,'209'  '267'  '296'  '329'  '722'  '803',177
758,'267'  '296'  '329'  '722'  '803',181
759,'267'  '411'  '440'  '722'  '803',180
760,'267'  '329'  '411'  '440'  '722'  '803',176
761,'267'  '329'  '411'  '722'  '803',182
762,'267'  '440'  '722'  '803',188
763,'267'  '329'  '440'  '722'  '803',184
764,'267'  '329'  '722'  '803',190
765,'267'  '296'  '411'  '722',189
